TaskID, TaskType, Elapsed, Deserialize, DeserializeCPU, Serialize
   102, ShuffleMapTask, 482.00, 5.00, 4246067.00, 0.00
   104, ShuffleMapTask, 478.00, 4.00, 3261201.00, 0.00
   110, ShuffleMapTask, 452.00, 3.00, 3249968.00, 0.00
   109, ShuffleMapTask, 499.00, 2.00, 2580614.00, 0.00
   113, ShuffleMapTask, 422.00, 3.00, 2804116.00, 0.00
   112, ShuffleMapTask, 467.00, 3.00, 2865686.00, 0.00
   119, ShuffleMapTask, 344.00, 21.00, 4473883.00, 0.00
   122, ShuffleMapTask, 299.00, 4.00, 3391047.00, 0.00
   126, ShuffleMapTask, 293.00, 4.00, 3406215.00, 0.00
   118, ShuffleMapTask, 506.00, 4.00, 2956575.00, 0.00
   116, ShuffleMapTask, 515.00, 3.00, 3150943.00, 0.00
   114, ShuffleMapTask, 569.00, 31.00, 4935491.00, 0.00
   120, ShuffleMapTask, 504.00, 4.00, 3673308.00, 0.00
   115, ShuffleMapTask, 582.00, 4.00, 3682914.00, 0.00
   117, ShuffleMapTask, 585.00, 4.00, 3567666.00, 1.00
   123, ShuffleMapTask, 463.00, 3.00, 2843086.00, 0.00
   127, ShuffleMapTask, 418.00, 4.00, 3928153.00, 0.00
   129, ShuffleMapTask, 281.00, 3.00, 3013482.00, 0.00
   125, ShuffleMapTask, 483.00, 8.00, 4647721.00, 0.00
   124, ShuffleMapTask, 503.00, 5.00, 3490560.00, 1.00
   128, ShuffleMapTask, 324.00, 4.00, 3648647.00, 0.00
   130, ShuffleMapTask, 300.00, 4.00, 2713842.00, 0.00
   131, ShuffleMapTask, 276.00, 3.00, 2721687.00, 0.00
   134, ShuffleMapTask, 215.00, 3.00, 3023630.00, 0.00
   121, ShuffleMapTask, 617.00, 29.00, 3863129.00, 0.00
   135, ShuffleMapTask, 230.00, 4.00, 2737053.00, 0.00
   136, ShuffleMapTask, 234.00, 9.00, 2969590.00, 0.00
   137, ShuffleMapTask, 272.00, 3.00, 3000794.00, 0.00
   133, ShuffleMapTask, 335.00, 2.00, 2659646.00, 0.00
   141, ShuffleMapTask, 241.00, 3.00, 2684245.00, 1.00
   139, ShuffleMapTask, 307.00, 3.00, 2471330.00, 1.00
   142, ShuffleMapTask, 265.00, 3.00, 2820105.00, 0.00
   138, ShuffleMapTask, 348.00, 3.00, 2583793.00, 0.00
   144, ShuffleMapTask, 299.00, 8.00, 2637678.00, 0.00
   140, ShuffleMapTask, 377.00, 3.00, 2779136.00, 0.00
   147, ShuffleMapTask, 252.00, 9.00, 2893280.00, 0.00
   132, ShuffleMapTask, 543.00, 3.00, 2668674.00, 0.00
   145, ShuffleMapTask, 333.00, 3.00, 2494601.00, 0.00
   149, ShuffleMapTask, 299.00, 3.00, 2833317.00, 0.00
   148, ShuffleMapTask, 348.00, 2.00, 2445677.00, 0.00
   146, ShuffleMapTask, 409.00, 3.00, 2466563.00, 0.00
   143, ShuffleMapTask, 491.00, 3.00, 2695181.00, 0.00
   155, ShuffleMapTask, 313.00, 3.00, 2952386.00, 0.00
   150, ShuffleMapTask, 486.00, 3.00, 2754067.00, 0.00
   152, ShuffleMapTask, 473.00, 3.00, 2705066.00, 0.00
   151, ShuffleMapTask, 496.00, 3.00, 2823757.00, 0.00
   159, ShuffleMapTask, 366.00, 3.00, 2802506.00, 0.00
   153, ShuffleMapTask, 518.00, 18.00, 2856314.00, 0.00
   157, ShuffleMapTask, 437.00, 2.00, 2438380.00, 1.00
   154, ShuffleMapTask, 500.00, 3.00, 3033141.00, 1.00
   163, ShuffleMapTask, 325.00, 4.00, 3013720.00, 0.00
   158, ShuffleMapTask, 434.00, 3.00, 3044008.00, 0.00
   160, ShuffleMapTask, 417.00, 3.00, 2827528.00, 0.00
    10, ShuffleMapTask, 11956.00, 9445.00, 56478668.00, 0.00
   165, ShuffleMapTask, 289.00, 7.00, 3020477.00, 0.00
    50, ShuffleMapTask, 11918.00, 9444.00, 61322981.00, 0.00
     0, ShuffleMapTask, 12013.00, 9447.00, 60552345.00, 0.00
    30, ShuffleMapTask, 11937.00, 9447.00, 46981057.00, 0.00
    70, ShuffleMapTask, 11906.00, 9440.00, 640216637.00, 0.00
    20, ShuffleMapTask, 11948.00, 9447.00, 76639407.00, 1.00
    40, ShuffleMapTask, 11930.00, 9446.00, 1501561796.00, 0.00
    60, ShuffleMapTask, 11915.00, 9443.00, 76418068.00, 0.00
   162, ShuffleMapTask, 410.00, 4.00, 3835369.00, 0.00
   156, ShuffleMapTask, 523.00, 3.00, 2515426.00, 0.00
   167, ShuffleMapTask, 267.00, 3.00, 2753072.00, 0.00
   166, ShuffleMapTask, 332.00, 3.00, 3229362.00, 1.00
   170, ShuffleMapTask, 250.00, 3.00, 2062943.00, 1.00
   169, ShuffleMapTask, 325.00, 2.00, 2455860.00, 0.00
   178, ShuffleMapTask, 248.00, 4.00, 2669559.00, 0.00
   164, ShuffleMapTask, 579.00, 22.00, 4089943.00, 0.00
   161, ShuffleMapTask, 675.00, 2.00, 2950548.00, 1.00
   175, ShuffleMapTask, 293.00, 4.00, 3595301.00, 1.00
   177, ShuffleMapTask, 311.00, 3.00, 4045186.00, 1.00
   181, ShuffleMapTask, 329.00, 3.00, 2800638.00, 0.00
   186, ShuffleMapTask, 332.00, 10.00, 5130448.00, 0.00
   168, ShuffleMapTask, 471.00, 7.00, 3332822.00, 1.00
   173, ShuffleMapTask, 401.00, 4.00, 2884108.00, 0.00
   189, ShuffleMapTask, 275.00, 2.00, 2289171.00, 0.00
   179, ShuffleMapTask, 417.00, 3.00, 2951911.00, 0.00
   184, ShuffleMapTask, 414.00, 5.00, 2768335.00, 0.00
   180, ShuffleMapTask, 418.00, 3.00, 2624110.00, 0.00
   187, ShuffleMapTask, 438.00, 4.00, 3160625.00, 0.00
   188, ShuffleMapTask, 363.00, 2.00, 2627930.00, 1.00
   176, ShuffleMapTask, 504.00, 3.00, 2813645.00, 0.00
   171, ShuffleMapTask, 531.00, 3.00, 3152006.00, 0.00
   172, ShuffleMapTask, 527.00, 2.00, 2593134.00, 0.00
   190, ShuffleMapTask, 330.00, 3.00, 2883254.00, 5.00
   174, ShuffleMapTask, 534.00, 9.00, 4148846.00, 1.00
   185, ShuffleMapTask, 519.00, 5.00, 4343573.00, 0.00
   182, ShuffleMapTask, 576.00, 3.00, 2573982.00, 0.00
   191, ShuffleMapTask, 359.00, 3.00, 2825212.00, 0.00
   194, ShuffleMapTask, 355.00, 3.00, 2503798.00, 0.00
   183, ShuffleMapTask, 601.00, 2.00, 2719830.00, 0.00
   199, ShuffleMapTask, 278.00, 74.00, 2506612.00, 0.00
   192, ShuffleMapTask, 397.00, 4.00, 2788883.00, 1.00
   200, ShuffleMapTask, 292.00, 3.00, 2827789.00, 0.00
   205, ShuffleMapTask, 208.00, 2.00, 2734701.00, 0.00
   207, ShuffleMapTask, 213.00, 5.00, 2323458.00, 0.00
   209, ShuffleMapTask, 238.00, 7.00, 2918424.00, 0.00
   208, ShuffleMapTask, 273.00, 2.00, 2202695.00, 0.00
   195, ShuffleMapTask, 502.00, 2.00, 2567851.00, 0.00
   215, ShuffleMapTask, 204.00, 3.00, 2374768.00, 0.00
   210, ShuffleMapTask, 363.00, 2.00, 2797210.00, 0.00
   202, ShuffleMapTask, 474.00, 12.00, 4181939.00, 0.00
   217, ShuffleMapTask, 258.00, 4.00, 2661116.00, 0.00
   198, ShuffleMapTask, 544.00, 18.00, 6315071.00, 0.00
    73, ShuffleMapTask, 12801.00, 10063.00, 66432732.00, 1.00
    53, ShuffleMapTask, 12819.00, 10065.00, 52287118.00, 0.00
    23, ShuffleMapTask, 12849.00, 10067.00, 86223844.00, 2.00
    63, ShuffleMapTask, 12816.00, 10064.00, 71709999.00, 0.00
    13, ShuffleMapTask, 12863.00, 10067.00, 63183442.00, 1.00
    33, ShuffleMapTask, 12841.00, 10067.00, 57256398.00, 0.00
     3, ShuffleMapTask, 12878.00, 10067.00, 2400412610.00, 0.00
    43, ShuffleMapTask, 12835.00, 10066.00, 55196238.00, 0.00
   196, ShuffleMapTask, 614.00, 14.00, 6367564.00, 0.00
   222, ShuffleMapTask, 200.00, 2.00, 2231146.00, 0.00
   201, ShuffleMapTask, 548.00, 3.00, 2597317.00, 0.00
   197, ShuffleMapTask, 605.00, 8.00, 3857078.00, 0.00
   203, ShuffleMapTask, 531.00, 8.00, 5289686.00, 0.00
   211, ShuffleMapTask, 449.00, 4.00, 2954796.00, 0.00
   204, ShuffleMapTask, 555.00, 4.00, 3981503.00, 0.00
   223, ShuffleMapTask, 219.00, 2.00, 2455806.00, 0.00
   219, ShuffleMapTask, 320.00, 2.00, 2368051.00, 0.00
   216, ShuffleMapTask, 378.00, 5.00, 5712552.00, 0.00
   220, ShuffleMapTask, 317.00, 3.00, 2683496.00, 0.00
   221, ShuffleMapTask, 290.00, 2.00, 2748815.00, 0.00
   212, ShuffleMapTask, 474.00, 11.00, 4495197.00, 0.00
   225, ShuffleMapTask, 204.00, 3.00, 2513061.00, 0.00
   214, ShuffleMapTask, 431.00, 4.00, 2960688.00, 1.00
   206, ShuffleMapTask, 564.00, 7.00, 4380870.00, 0.00
   213, ShuffleMapTask, 513.00, 10.00, 4887409.00, 1.00
   239, ShuffleMapTask, 199.00, 2.00, 2205665.00, 0.00
   218, ShuffleMapTask, 504.00, 6.00, 4218423.00, 1.00
   228, ShuffleMapTask, 259.00, 3.00, 3057174.00, 0.00
   245, ShuffleMapTask, 195.00, 3.00, 2214568.00, 0.00
   238, ShuffleMapTask, 265.00, 5.00, 3347813.00, 0.00
    65, ShuffleMapTask, 13097.00, 10363.00, 59074686.00, 2.00
    25, ShuffleMapTask, 13131.00, 10369.00, 57975577.00, 2.00
   224, ShuffleMapTask, 425.00, 3.00, 3146687.00, 0.00
     5, ShuffleMapTask, 13158.00, 10370.00, 65181993.00, 0.00
    35, ShuffleMapTask, 13126.00, 10367.00, 66522097.00, 0.00
    55, ShuffleMapTask, 13110.00, 10364.00, 57517173.00, 0.00
    15, ShuffleMapTask, 13149.00, 10369.00, 2163274598.00, 1.00
    75, ShuffleMapTask, 13096.00, 10359.00, 76160086.00, 0.00
    45, ShuffleMapTask, 13121.00, 10364.00, 49764493.00, 0.00
   232, ShuffleMapTask, 301.00, 7.00, 2682157.00, 0.00
   246, ShuffleMapTask, 232.00, 3.00, 1857235.00, 0.00
   237, ShuffleMapTask, 303.00, 4.00, 4704517.00, 1.00
   227, ShuffleMapTask, 333.00, 4.00, 3060044.00, 0.00
   226, ShuffleMapTask, 382.00, 22.00, 9267433.00, 1.00
   251, ShuffleMapTask, 236.00, 3.00, 2378576.00, 0.00
   242, ShuffleMapTask, 305.00, 11.00, 4571391.00, 0.00
   229, ShuffleMapTask, 372.00, 14.00, 4068114.00, 1.00
    46, ShuffleMapTask, 13192.00, 10554.00, 73624570.00, 1.00
     6, ShuffleMapTask, 13235.00, 10558.00, 54020601.00, 0.00
    56, ShuffleMapTask, 13186.00, 10553.00, 54081797.00, 0.00
    16, ShuffleMapTask, 13222.00, 10558.00, 76527005.00, 8.00
    66, ShuffleMapTask, 13179.00, 10552.00, 52178092.00, 0.00
    36, ShuffleMapTask, 13205.00, 10555.00, 670758908.00, 0.00
    76, ShuffleMapTask, 13174.00, 10549.00, 1491132974.00, 6.00
    26, ShuffleMapTask, 13216.00, 10557.00, 76735896.00, 1.00
   231, ShuffleMapTask, 376.00, 5.00, 3221632.00, 0.00
   234, ShuffleMapTask, 377.00, 6.00, 2919876.00, 1.00
   241, ShuffleMapTask, 352.00, 3.00, 2448701.00, 0.00
   248, ShuffleMapTask, 308.00, 2.00, 2131474.00, 0.00
   243, ShuffleMapTask, 343.00, 3.00, 3240458.00, 1.00
   250, ShuffleMapTask, 302.00, 6.00, 3888010.00, 0.00
   249, ShuffleMapTask, 325.00, 2.00, 1919371.00, 0.00
   236, ShuffleMapTask, 407.00, 4.00, 3122750.00, 0.00
   252, ShuffleMapTask, 300.00, 3.00, 2929680.00, 0.00
   240, ShuffleMapTask, 404.00, 4.00, 2971261.00, 1.00
   233, ShuffleMapTask, 447.00, 4.00, 3366728.00, 0.00
   253, ShuffleMapTask, 327.00, 3.00, 2752294.00, 0.00
   244, ShuffleMapTask, 391.00, 3.00, 2750594.00, 0.00
   256, ShuffleMapTask, 230.00, 3.00, 2738317.00, 0.00
   247, ShuffleMapTask, 396.00, 3.00, 2745653.00, 0.00
   258, ShuffleMapTask, 209.00, 3.00, 2363349.00, 0.00
   235, ShuffleMapTask, 489.00, 9.00, 3007175.00, 0.00
    67, ShuffleMapTask, 13304.00, 10560.00, 63809222.00, 1.00
    17, ShuffleMapTask, 13348.00, 10564.00, 92547696.00, 0.00
    77, ShuffleMapTask, 13297.00, 10558.00, 63034280.00, 0.00
    57, ShuffleMapTask, 13313.00, 10561.00, 690860246.00, 0.00
   257, ShuffleMapTask, 252.00, 2.00, 2561349.00, 0.00
    37, ShuffleMapTask, 13334.00, 10564.00, 55158203.00, 2.00
     7, ShuffleMapTask, 13368.00, 10564.00, 1706556767.00, 0.00
    27, ShuffleMapTask, 13344.00, 10564.00, 72803146.00, 1.00
   255, ShuffleMapTask, 286.00, 3.00, 2426259.00, 0.00
    47, ShuffleMapTask, 13326.00, 10562.00, 67982704.00, 0.00
   270, ShuffleMapTask, 202.00, 3.00, 2419691.00, 0.00
   230, ShuffleMapTask, 511.00, 6.00, 5279250.00, 1.00
   254, ShuffleMapTask, 327.00, 3.00, 3196452.00, 0.00
    34, ShuffleMapTask, 13356.00, 10527.00, 1641027001.00, 1.00
    44, ShuffleMapTask, 13350.00, 10525.00, 67349636.00, 0.00
    14, ShuffleMapTask, 13383.00, 10528.00, 65202957.00, 0.00
    74, ShuffleMapTask, 13329.00, 10522.00, 40965704.00, 0.00
    24, ShuffleMapTask, 13372.00, 10527.00, 45980935.00, 0.00
    54, ShuffleMapTask, 13346.00, 10524.00, 67915857.00, 6.00
    64, ShuffleMapTask, 13340.00, 10523.00, 63220030.00, 0.00
     4, ShuffleMapTask, 13399.00, 10534.00, 682808339.00, 0.00
   273, ShuffleMapTask, 206.00, 4.00, 2594298.00, 0.00
   262, ShuffleMapTask, 249.00, 8.00, 5077871.00, 0.00
   274, ShuffleMapTask, 230.00, 4.00, 3037319.00, 0.00
    58, ShuffleMapTask, 13384.00, 10549.00, 46137309.00, 0.00
     8, ShuffleMapTask, 13436.00, 10559.00, 63067806.00, 0.00
    48, ShuffleMapTask, 13395.00, 10550.00, 55980095.00, 7.00
    68, ShuffleMapTask, 13381.00, 10548.00, 77589910.00, 0.00
    38, ShuffleMapTask, 13406.00, 10550.00, 61901105.00, 0.00
    28, ShuffleMapTask, 13415.00, 10552.00, 44059269.00, 2.00
    78, ShuffleMapTask, 13376.00, 10546.00, 686244130.00, 0.00
    18, ShuffleMapTask, 13428.00, 10552.00, 1576380842.00, 0.00
   275, ShuffleMapTask, 239.00, 3.00, 2963011.00, 0.00
   265, ShuffleMapTask, 304.00, 4.00, 2875449.00, 0.00
   289, ShuffleMapTask, 212.00, 2.00, 2500839.00, 0.00
   272, ShuffleMapTask, 285.00, 3.00, 2777952.00, 0.00
   261, ShuffleMapTask, 332.00, 9.00, 4539178.00, 7.00
   276, ShuffleMapTask, 277.00, 3.00, 2690844.00, 0.00
   293, ShuffleMapTask, 229.00, 3.00, 2492614.00, 0.00
   277, ShuffleMapTask, 285.00, 7.00, 4615699.00, 0.00
   291, ShuffleMapTask, 254.00, 3.00, 2199837.00, 0.00
   288, ShuffleMapTask, 275.00, 4.00, 3384391.00, 0.00
   279, ShuffleMapTask, 307.00, 5.00, 3840182.00, 0.00
   268, ShuffleMapTask, 390.00, 8.00, 5075042.00, 0.00
   294, ShuffleMapTask, 261.00, 3.00, 2906468.00, 0.00
   296, ShuffleMapTask, 236.00, 2.00, 2106865.00, 0.00
   287, ShuffleMapTask, 322.00, 3.00, 2716648.00, 0.00
   260, ShuffleMapTask, 437.00, 6.00, 5232619.00, 1.00
   300, ShuffleMapTask, 250.00, 3.00, 2304675.00, 0.00
   193, ShuffleMapTask, 1384.00, 3.00, 3229559.00, 0.00
   298, ShuffleMapTask, 260.00, 3.00, 1975978.00, 0.00
    69, ShuffleMapTask, 13537.00, 10720.00, 46239095.00, 2.00
    79, ShuffleMapTask, 13530.00, 10719.00, 697067843.00, 1.00
     9, ShuffleMapTask, 13596.00, 10723.00, 1627151839.00, 2.00
    29, ShuffleMapTask, 13573.00, 10723.00, 50462300.00, 0.00
    59, ShuffleMapTask, 13549.00, 10722.00, 63451746.00, 0.00
    49, ShuffleMapTask, 13556.00, 10722.00, 51840233.00, 0.00
    39, ShuffleMapTask, 13566.00, 10723.00, 44899525.00, 1.00
    19, ShuffleMapTask, 13586.00, 10723.00, 85429848.00, 2.00
   283, ShuffleMapTask, 368.00, 3.00, 2802844.00, 0.00
   264, ShuffleMapTask, 457.00, 4.00, 3075508.00, 0.00
   323, ShuffleMapTask, 228.00, 7.00, 2110570.00, 0.00
   266, ShuffleMapTask, 487.00, 3.00, 3106124.00, 0.00
   297, ShuffleMapTask, 322.00, 7.00, 4410525.00, 0.00
   259, ShuffleMapTask, 504.00, 4.00, 3591949.00, 0.00
   290, ShuffleMapTask, 408.00, 8.00, 4466174.00, 1.00
   311, ShuffleMapTask, 307.00, 3.00, 3481235.00, 0.00
   318, ShuffleMapTask, 285.00, 4.00, 2938264.00, 1.00
   267, ShuffleMapTask, 521.00, 4.00, 3034130.00, 0.00
   316, ShuffleMapTask, 296.00, 8.00, 4110965.00, 0.00
   336, ShuffleMapTask, 225.00, 3.00, 2901289.00, 0.00
   308, ShuffleMapTask, 329.00, 4.00, 2117045.00, 0.00
   278, ShuffleMapTask, 469.00, 6.00, 3755654.00, 1.00
   280, ShuffleMapTask, 477.00, 5.00, 3134538.00, 0.00
   263, ShuffleMapTask, 561.00, 3.00, 2937831.00, 0.00
   299, ShuffleMapTask, 380.00, 5.00, 3014144.00, 0.00
   324, ShuffleMapTask, 318.00, 3.00, 2139935.00, 0.00
   310, ShuffleMapTask, 365.00, 11.00, 4771314.00, 0.00
   302, ShuffleMapTask, 383.00, 6.00, 4745367.00, 1.00
   281, ShuffleMapTask, 514.00, 9.00, 3036560.00, 0.00
   325, ShuffleMapTask, 317.00, 3.00, 2435191.00, 0.00
   314, ShuffleMapTask, 374.00, 7.00, 4503756.00, 0.00
   321, ShuffleMapTask, 371.00, 3.00, 3016508.00, 0.00
   327, ShuffleMapTask, 330.00, 4.00, 3400341.00, 1.00
   312, ShuffleMapTask, 400.00, 3.00, 2490236.00, 0.00
   306, ShuffleMapTask, 409.00, 2.00, 2853263.00, 0.00
   307, ShuffleMapTask, 415.00, 9.00, 3042032.00, 0.00
   347, ShuffleMapTask, 221.00, 3.00, 2470490.00, 0.00
   285, ShuffleMapTask, 541.00, 20.00, 5112582.00, 0.00
   342, ShuffleMapTask, 258.00, 3.00, 2165484.00, 0.00
   340, ShuffleMapTask, 274.00, 2.00, 2306522.00, 0.00
   271, ShuffleMapTask, 611.00, 3.00, 3026988.00, 0.00
   350, ShuffleMapTask, 199.00, 3.00, 2263367.00, 0.00
   309, ShuffleMapTask, 423.00, 5.00, 3468153.00, 0.00
   339, ShuffleMapTask, 286.00, 7.00, 4175521.00, 0.00
   334, ShuffleMapTask, 341.00, 8.00, 4214035.00, 0.00
   269, ShuffleMapTask, 637.00, 5.00, 5406557.00, 0.00
   303, ShuffleMapTask, 456.00, 15.00, 3979161.00, 0.00
   332, ShuffleMapTask, 380.00, 3.00, 3056688.00, 1.00
   282, ShuffleMapTask, 586.00, 3.00, 2792709.00, 0.00
   346, ShuffleMapTask, 267.00, 3.00, 2270667.00, 0.00
   331, ShuffleMapTask, 387.00, 5.00, 5234739.00, 0.00
   352, ShuffleMapTask, 233.00, 2.00, 2253152.00, 0.00
   328, ShuffleMapTask, 392.00, 5.00, 2958796.00, 0.00
   286, ShuffleMapTask, 584.00, 4.00, 3997767.00, 0.00
   343, ShuffleMapTask, 302.00, 3.00, 3095803.00, 1.00
   295, ShuffleMapTask, 529.00, 10.00, 3902148.00, 0.00
   284, ShuffleMapTask, 603.00, 12.00, 5520552.00, 0.00
   330, ShuffleMapTask, 405.00, 5.00, 2983870.00, 1.00
   337, ShuffleMapTask, 379.00, 8.00, 2902061.00, 1.00
   317, ShuffleMapTask, 474.00, 5.00, 3778829.00, 0.00
   315, ShuffleMapTask, 478.00, 7.00, 4154895.00, 1.00
   329, ShuffleMapTask, 438.00, 6.00, 3065642.00, 0.00
   313, ShuffleMapTask, 502.00, 19.00, 5413211.00, 0.00
   304, ShuffleMapTask, 521.00, 5.00, 3590023.00, 1.00
   292, ShuffleMapTask, 605.00, 5.00, 3922833.00, 0.00
   320, ShuffleMapTask, 495.00, 5.00, 3189404.00, 1.00
   372, ShuffleMapTask, 214.00, 4.00, 3085154.00, 0.00
   348, ShuffleMapTask, 340.00, 3.00, 3289645.00, 0.00
   333, ShuffleMapTask, 465.00, 3.00, 3094209.00, 0.00
   366, ShuffleMapTask, 259.00, 24.00, 7936498.00, 0.00
   351, ShuffleMapTask, 330.00, 2.00, 1949205.00, 0.00
   378, ShuffleMapTask, 205.00, 3.00, 2505115.00, 0.00
   341, ShuffleMapTask, 427.00, 4.00, 4345936.00, 0.00
   373, ShuffleMapTask, 254.00, 2.00, 2728255.00, 0.00
   301, ShuffleMapTask, 591.00, 15.00, 4311759.00, 1.00
   322, ShuffleMapTask, 557.00, 6.00, 3689782.00, 0.00
   359, ShuffleMapTask, 365.00, 2.00, 2890967.00, 0.00
   335, ShuffleMapTask, 508.00, 5.00, 4575299.00, 1.00
   353, ShuffleMapTask, 376.00, 8.00, 5272202.00, 1.00
   326, ShuffleMapTask, 548.00, 5.00, 4110969.00, 0.00
   363, ShuffleMapTask, 360.00, 3.00, 2282784.00, 0.00
   358, ShuffleMapTask, 391.00, 14.00, 4737554.00, 0.00
   367, ShuffleMapTask, 329.00, 5.00, 2866077.00, 1.00
   392, ShuffleMapTask, 214.00, 2.00, 2210385.00, 0.00
   387, ShuffleMapTask, 233.00, 2.00, 1711006.00, 0.00
   394, ShuffleMapTask, 223.00, 2.00, 2400224.00, 0.00
   386, ShuffleMapTask, 243.00, 2.00, 2204751.00, 0.00
   319, ShuffleMapTask, 622.00, 9.00, 4356428.00, 1.00
   305, ShuffleMapTask, 658.00, 5.00, 3089131.00, 0.00
   389, ShuffleMapTask, 243.00, 2.00, 3022318.00, 0.00
   355, ShuffleMapTask, 425.00, 10.00, 3386506.00, 1.00
   391, ShuffleMapTask, 243.00, 2.00, 2030250.00, 0.00
   396, ShuffleMapTask, 242.00, 3.00, 2024241.00, 0.00
   338, ShuffleMapTask, 551.00, 4.00, 4355113.00, 1.00
   397, ShuffleMapTask, 244.00, 3.00, 2774208.00, 0.00
   377, ShuffleMapTask, 336.00, 5.00, 5196087.00, 0.00
   382, ShuffleMapTask, 315.00, 3.00, 2420186.00, 0.00
   411, ShuffleMapTask, 225.00, 3.00, 2774474.00, 0.00
   365, ShuffleMapTask, 435.00, 4.00, 2836447.00, 1.00
   404, ShuffleMapTask, 260.00, 2.00, 1953805.00, 0.00
   383, ShuffleMapTask, 345.00, 3.00, 2831787.00, 0.00
   370, ShuffleMapTask, 422.00, 5.00, 4997462.00, 0.00
   390, ShuffleMapTask, 321.00, 3.00, 3556820.00, 0.00
   364, ShuffleMapTask, 466.00, 4.00, 4529920.00, 0.00
   357, ShuffleMapTask, 522.00, 5.00, 3070639.00, 0.00
   360, ShuffleMapTask, 526.00, 9.00, 3430781.00, 0.00
   345, ShuffleMapTask, 577.00, 3.00, 3772265.00, 0.00
   362, ShuffleMapTask, 515.00, 6.00, 3745717.00, 1.00
   408, ShuffleMapTask, 295.00, 3.00, 3059811.00, 0.00
   393, ShuffleMapTask, 351.00, 3.00, 2673449.00, 0.00
   361, ShuffleMapTask, 539.00, 5.00, 3428975.00, 0.00
   368, ShuffleMapTask, 482.00, 5.00, 4421070.00, 0.00
   417, ShuffleMapTask, 275.00, 5.00, 4313698.00, 0.00
   376, ShuffleMapTask, 443.00, 5.00, 3565561.00, 0.00
   398, ShuffleMapTask, 364.00, 8.00, 4088061.00, 0.00
   407, ShuffleMapTask, 334.00, 2.00, 2719066.00, 0.00
   426, ShuffleMapTask, 223.00, 2.00, 2332463.00, 1.00
   349, ShuffleMapTask, 590.00, 5.00, 3716662.00, 1.00
   415, ShuffleMapTask, 302.00, 8.00, 2886817.00, 0.00
   354, ShuffleMapTask, 597.00, 5.00, 4002868.00, 1.00
